,show_number,air_date,round,category_title,value,data_q,data_a,classes,combined,filtered_sentence
0,4680,12/31/2004,Jeopardy!,HISTORY,$200 ,"For the last 8 years of his life, Galileo was under house arrest for espousing this man's theory",Copernicus,people,"HISTORY For the last 8 years of his life, Galileo was under house arrest for espousing this man's theory Copernicus","history last 8 years life, galileo house arrest espousing man's theory copernicus"
1,4680,12/31/2004,Jeopardy!,ESPN's TOP 10 ALL-TIME ATHLETES,$200 ,"No. 2: 1912 Olympian; football star at Carlisle Indian School; 6 MLB seasons with the Reds, Giants & Braves",Jim Thorpe,people,"ESPN's TOP 10 ALL-TIME ATHLETES No. 2: 1912 Olympian; football star at Carlisle Indian School; 6 MLB seasons with the Reds, Giants & Braves Jim Thorpe","espn's top 10 all-time athletes no. 2: 1912 olympian; football star carlisle indian school; 6 mlb seasons reds, giants & braves jim thorpe"
2,4680,12/31/2004,Jeopardy!,EVERYBODY TALKS ABOUT IT...,$200 ,"The city of Yuma in this state has a record average of 4,055 hours of sunshine each year",Arizona,geography,"EVERYBODY TALKS ABOUT IT... The city of Yuma in this state has a record average of 4,055 hours of sunshine each year Arizona","everybody talks it... city yuma state record average 4,055 hours sunshine year arizona"
3,4680,12/31/2004,Jeopardy!,THE COMPANY LINE,$200 ,"""In 1963, live on """"The Art Linkletter Show"""""," this company served its billionth burger""",McDonald's,organizations,organizations
4,4680,12/31/2004,Jeopardy!,EPITAPHS & TRIBUTES,$200 ,"Signer of the Dec. of Indep., framer of the Constitution of Mass., second President of the United States",John Adams,people,"EPITAPHS & TRIBUTES Signer of the Dec. of Indep., framer of the Constitution of Mass., second President of the United States John Adams","epitaphs & tributes signer dec. indep., framer constitution mass., second president united states john adams"
5,4680,12/31/2004,Jeopardy!,3-LETTER WORDS,$200 ,"In the title of an Aesop fable, this insect shared billing with a grasshopper",the ant,literature,"3-LETTER WORDS In the title of an Aesop fable, this insect shared billing with a grasshopper the ant","3-letter words title aesop fable, insect shared billing grasshopper ant"
6,4680,12/31/2004,Jeopardy!,HISTORY,$400 ,"Built in 312 B.C. to link Rome & the South of Italy, it's still in use today",the Appian Way,geography,"HISTORY Built in 312 B.C. to link Rome & the South of Italy, it's still in use today the Appian Way","history built 312 b.c. link rome & south italy, still use today appian way"
7,4680,12/31/2004,Jeopardy!,ESPN's TOP 10 ALL-TIME ATHLETES,$400 ,"No. 8: 30 steals for the Birmingham Barons; 2,306 steals for the Bulls",Michael Jordan,people,"ESPN's TOP 10 ALL-TIME ATHLETES No. 8: 30 steals for the Birmingham Barons; 2,306 steals for the Bulls Michael Jordan","espn's top 10 all-time athletes no. 8: 30 steals birmingham barons; 2,306 steals bulls michael jordan"
8,4680,12/31/2004,Jeopardy!,EVERYBODY TALKS ABOUT IT...,$400 ,"In the winter of 1971-72, a record 1,122 inches of snow fell at Rainier Paradise Ranger Station in this state",Washington,geography,"EVERYBODY TALKS ABOUT IT... In the winter of 1971-72, a record 1,122 inches of snow fell at Rainier Paradise Ranger Station in this state Washington","everybody talks it... winter 1971-72, record 1,122 inches snow fell rainier paradise ranger station state washington"
9,4680,12/31/2004,Jeopardy!,THE COMPANY LINE,$400 ,This housewares store was named for the packaging its merchandise came in & was first displayed on,Crate & Barrel,organizations,THE COMPANY LINE This housewares store was named for the packaging its merchandise came in & was first displayed on Crate & Barrel,company line housewares store named packaging merchandise came & first displayed crate & barrel
10,4680,12/31/2004,Jeopardy!,EPITAPHS & TRIBUTES,$400 ,"""""""And away we go""""""",Jackie Gleason,people,"""EPITAPHS & TRIBUTES """"And away we go"""" Jackie Gleason""","""epitaphs & tributes """"and away go"""" jackie gleason"""
